Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1744594864.561	     2.877	0	0	2	0	run_experiment 5
1	:	1744594864.550	     2.937	0	0	2	0	run_experiment 0
2	:	1744594864.553	     2.996	0	0	2	0	run_experiment 1
5	:	1744594864.559	     3.068	0	0	2	0	run_experiment 4
7	:	1744594864.563	     3.140	0	0	2	0	run_experiment 6
10	:	1744594864.569	     3.178	0	0	2	0	run_experiment 9
9	:	1744594864.567	     3.190	0	0	2	0	run_experiment 8
4	:	1744594864.557	     3.317	0	0	2	0	run_experiment 3
3	:	1744594864.555	     3.373	0	0	2	0	run_experiment 2
8	:	1744594864.565	     3.453	0	0	2	0	run_experiment 7
