"Step","Grouped runs - mean_return","Grouped runs - mean_return__MIN","Grouped runs - mean_return__MAX"
"0","-107.9","-157","-36"
"1","-126.16","-182","-26.1"
"2","-130.54","-250","-63.3"
"3","-103.56999999999998","-176","-1.6"
"4","-80.95","-190","3.4"
"5","-45.36","-202","55.1"
"6","-95.72","-234","34.2"
"7","-156.42000000000002","-228","-66.2"
"8","-163.1","-292","-7"
"9","-184.3","-266","-86"
"10","-202.9","-251","-128"
"11","-196.3","-240","-150"
"12","-194.6","-226","-166"
"13","-202.4","-216","-158"
"14","-201.7","-214","-186"
"15","-196.6","-211","-174"
"16","-201.3","-207","-183"
"17","-194.5","-210","-163"
"18","-194.9","-207","-175"
"19","-192.4","-207","-168"
"20","-200.8","-206","-185"
"21","-200.4","-206","-172"
"22","-197.5","-206","-167"
"23","-199.7","-204","-187"
"24","-196.1","-205","-177"
"25","-196.4","-205","-165"
"26","-198.3","-203","-183"
"27","-198.9","-204","-182"
"28","-194.6","-202","-177"
"29","-196.7","-203","-184"
"30","-189.7","-204","-130"
"31","-182.9","-204","-116"
"32","-159.2","-202","8"
"33","-151.2","-202","32"
"34","-164.4","-201","-36"
"35","-145.4","-204","54"
"36","-135.7","-201","86"
"37","-134.4","-202","68"
"38","-125.1","-201","9"
"39","-117.6","-202","22"
"40","-122","-201","78"
"41","-97.4","-202","176"
"42","-85.1","-201","166"
"43","-54.529999999999994","-201","197.7"
"44","-57.57000000000001","-201","163.3"
"45","-42.839999999999996","-202","294.6"
"46","-49.19","-200","294.1"
"47","-56.120000000000005","-202","206.8"
"48","-40.02","-201","249.4"
"49","-36.279999999999994","-201","260.1"
"50","-27.669999999999998","-203","280.3"
"51","-1.1199999999999988","-201","323.3"
"52","-4.890000000000003","-201","352.2"
"53","2.379999999999998","-201","392.4"
"54","9.799999999999997","-201","367.5"
"55","27.040000000000003","-201","392.6"
"56","64.08000000000001","-200","444.3"
"57","104.87","-201","442.6"
"58","148.26999999999998","-200","435.3"
"59","155.23000000000002","-200","446.5"
"60","179.26000000000002","-200","470.2"
"61","213.21999999999997","-200","448.7"
"62","263.29","-200","474.5"
"63","277.3","-192","446.9"
"64","311.28","-105","478.4"
"65","331.62","-52","459"
"66","351.96999999999997","118","473.3"
"67","376.91999999999996","79","473.6"
"68","410.10999999999996","294","471.6"
"69","421.85999999999996","338.6","469"
"70","422.02","323.7","478"
"71","428.51000000000005","344.3","484.1"
"72","432.30999999999995","373.6","487.9"
"73","437.15999999999997","372.2","466.3"
"74","436.55","399.1","479.2"
"75","425.43","366.5","482"
"76","442.3","382.9","480.7"
"77","452.73","403.8","487.4"
"78","458.28999999999996","434","488.2"
"79","456.7","406.7","484.2"
"80","456.35","401.3","490.6"
"81","457.14","414","494.5"
"82","462.5299999999999","372.2","492.5"
"83","471.78000000000003","440.4","497.1"
"84","467.58000000000004","441","498.4"
"85","455.2000000000001","420.9","485.1"
"86","471.87000000000006","441.9","499.6"
"87","465.91","428.7","492.4"
"88","463.89","427.2","505.5"
"89","466.76000000000005","434.6","490.7"
"90","466.81000000000006","396.5","499.8"
"91","476.41","446.9","493.1"
"92","470.03999999999996","409.5","503.9"
"93","474.7499999999999","457.5","499.7"
