"Step","Grouped runs - mean_return","Grouped runs - mean_return__MIN","Grouped runs - mean_return__MAX"
"0","-192.33333333333334","-279","-86"
"1","-206.2","-319","-45"
"2","-244.9","-388","-118"
"3","-235.5","-452","-195"
"4","-262.4","-597","-169"
"5","-298.8","-468","-200"
"6","-253.3","-442","-91"
"7","-275.9","-407","-187"
"8","-274.3","-379","-188"
"9","-241.6","-380","-43"
"10","-208.8","-415","-69"
"11","-174.2","-382","64"
"12","-136.2","-372","63"
"13","-161.6","-342","-34"
"14","-184.9","-376","54"
"15","-149.8","-297","42"
"16","-123.6","-248","41"
"17","-131.1","-239","28"
"18","-92.4","-205","62"
"19","-118.5","-235","38"
"20","-81.5","-211","49"
"21","-77.2","-213","69"
"22","-62.4","-247","105"
"23","-73.5","-254","60"
"24","-109.7","-291","16"
"25","-92.8","-253","49"
"26","-107.4","-277","26"
"27","-94.7","-276","35"
"28","-102.3","-249","47"
"29","-94.3","-259","40"
"30","-71.2","-208","54"
"31","-84","-257","120"
"32","-69.7","-200","131"
"33","-53.6","-209","103"
"34","-64.2","-200","110"
"35","-63","-215","97"
"36","-38.8","-201","233"
"37","-19.9","-205","228"
"38","-14.7","-231","232"
"39","1.3399999999999976","-200","316.4"
"40","35.12","-200","325.2"
"41","57.1","-202","333"
"42","56.1","-200","339"
"43","59.58","-237","378.8"
"44","95.61","-215","364"
"45","84.8","-200","432"
"46","113.17","-200","408.7"
"47","103.28","-203","392.8"
"48","131.43","-200","421.3"
"49","137.64000000000001","-229","406"
"50","139.35","-294","421.5"
"51","137.32999999999998","-356","458.3"
"52","164.26","-356","464.6"
"53","134.6","-382","382"
"54","169.33999999999997","-487","450.8"
"55","163.18","-552","481.8"
"56","156.9","-546","435.8"
"57","186.12","-444","407.2"
"58","187.89000000000001","-513","506.4"
"59","179.35","-421","444.9"
"60","178.1","-543","495"
"61","200.48000000000002","-424","441.1"
"62","172.85999999999999","-504","492.6"
"63","196.4","-305","465.2"
"64","222.1","-200","437"
"65","210.95","-200","419.5"
"66","211.64000000000001","-200","468.1"
"67","229.27999999999997","-200","467.4"
"68","232.24","-200","445.7"
"69","240.86999999999998","-200","462"
"70","237.14000000000001","-200","467.4"
"71","267.8","-200","481.6"
"72","283.29","-200","454.9"
"73","258.38","-200","480.8"
"74","279.78","-200","455"
"75","289.51000000000005","-200","483.6"
"76","308.73","-200","522.6"
"77","291.68999999999994","-200","430.7"
"78","297.71","-200","468.4"
"79","312.71","-200","440"
"80","308.07","-200","437.1"
"81","316.87","-200","492.3"
"82","332.52","-200","464.7"
"83","333.19","-200","471.4"
"84","321.8","-200","406"
"85","326.16999999999996","-200","483.6"
"86","351.08000000000004","-200","486"
"87","327.76000000000005","-200","436"
"88","329.25","-200","443.1"
"89","346.13","-200","446.7"
"90","360.79","-200","513.4"
"91","344.84000000000003","-200","465.5"
"92","354.18","-200","442"
"93","349.83000000000004","-200","455"
"94","357.35","-200","481"
"95","346.96000000000004","-200","480"
"96","367.16","-200","506.9"
"97","364.91999999999996","-200","480.6"
"98","348.18","-200","457"
"99","365.88","-200","488.8"
"100","365.38","-200","510.8"
"101","386","-200","507.5"
"102","388.84000000000003","-200","525.5"
"103","385.27000000000004","-200","495"
"104","384.61","-200","517"
"105","389.29","-200","496"
"106","388.3299999999999","-200","533.3"
"107","401.3","-200","527.7"
"108","405.23999999999995","-200","545.6"
"109","402.07000000000005","-200","514.7"
"110","418.48999999999995","-200","551.7"
"111","396.97","-200","541.4"
"112","402.13","-200","537"
"113","418.06000000000006","-200","560.2"
"114","404.61","-200","527.7"
"115","433.55","-200","562.2"
"116","416.11","-200","546.7"
"117","418.42999999999995","-200","551"
"118","403.83","-200","549"
"119","410.18","-200","553.8"
"120","403.67","-200","539"
"121","412.31000000000006","-200","530.6"
"122","423.28999999999996","-200","551.3"
"123","424.4","-200","550.8"
"124","415.21000000000004","-200","503"
"125","423.23999999999995","-200","576.5"
"126","413.36","-200","544.9"
"127","440.7200000000001","-200","590.3"
"128","447.7299999999999","-200","577"
"129","437.38","-200","577.6"
"130","431.7299999999999","-200","587.1"
"131","445.43999999999994","-200","650.2"
"132","457.78000000000003","-200","599.5"
"133","458.18","-200","638.6"
"134","547.0777777777778","475.8","633.3"
"135","532.5111111111111","448.6","609.8"
"136","556.7555555555555","460.9","634.8"
"137","548.3777777777777","431","653"
"138","542.1444444444445","478.8","638.9"
"139","549.1777777777777","458","625"
"140","561.9444444444445","503.3","672.5"
"141","557.5555555555554","452.7","642.3"
"142","569.2555555555556","491","686.8"
"143","575.1999999999999","470.7","677.9"
"144","556.0444444444444","495.9","651"
"145","569.5555555555555","480.4","706.7"
"146","561.8","463.7","672.6"
"147","567.5222222222224","449.1","706.4"
"148","578.3666666666667","477","683.3"
"149","577.5555555555554","470.2","720.9"
"150","597.4333333333333","503","730.7"
"151","566.2333333333333","379","720"
"152","579.9000000000001","466.5","720.8"
"153","572.0666666666666","451","692.9"
"154","598.0111111111111","482.5","714.6"
"155","585.2444444444444","449.3","730.8"
"156","591.3888888888889","492.8","717.4"
"157","605.9777777777778","489.2","707.8"
"158","588.7222222222222","460.5","734.6"
"159","600.9444444444445","512","715.1"
"160","598.6222222222223","478.4","739.4"
"161","587.588888888889","421","723.2"
"162","614.5999999999999","515.9","730.5"
"163","603.2222222222222","463.7","734.2"
"164","590.2333333333333","452.6","727.2"
"165","628.1888888888889","549.7","734.2"
"166","618.2222222222222","521.1","740.1"
"167","622.8777777777777","514","737.3"
"168","606.9444444444443","483.2","755.3"
"169","619.1444444444444","483.7","734.4"
"170","616.3555555555555","478","710.8"
"171","620.2111111111112","519.4","738.6"
"172","605.7222222222222","481.3","734.8"
"173","619.6888888888889","506.3","740"
"174","620.3333333333335","512.3","739.7"
"175","623.8666666666666","512.4","734.1"
"176","607.9333333333334","463.3","734.5"
"177","612.4222222222222","507","733"
"178","618.9444444444445","474","737"
"179","613.8666666666666","491","741.3"
"180","634.5444444444445","549.6","738.2"
"181","614.6555555555556","517.9","733.6"
"182","616.3444444444444","523.2","739.7"
"183","625.4000000000001","501","742.8"
"184","614.1444444444445","485.1","746.3"
"185","621.7666666666668","492.9","733.7"
"186","615.3888888888889","510.7","746.3"
"187","606.3111111111111","480.9","744.9"
"188","625.0333333333334","504.3","744.8"
"189","610.3999999999999","475.7","741.8"
"190","631.4000000000001","507.1","747.2"
"191","630.7","531","748"
"192","630.7111111111112","497","750.7"
"193","625.7777777777778","509.7","748.4"
"194","637.7888888888889","527.3","750"
"195","623.7444444444444","514.3","750"
"196","625.9333333333333","491","762.7"
"197","649.8777777777779","552.7","750"
"198","634.2111111111111","507.7","750"
"199","629.2333333333333","507.7","746.7"
"200","630.7111111111111","511.4","765.3"
"201","632.3444444444444","508.2","778.4"
