"Episode","Grouped runs - Returns_With_Instruction","Grouped runs - Returns_With_Instruction__MIN","Grouped runs - Returns_With_Instruction__MAX","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX"
"0","-9.275190771932824","-12.570835936649976","-5.97954560721567","0","0","0"
"96","-11.65779537530457","-12.990602620186813","-10.324988130422328","1","1","1"
"192","-12.744211907093309","-15.058376149200143","-10.430047664986473","2","2","2"
"288","-10.626812776937365","-11.237396503615766","-10.016229050258964","3","3","3"
"384","-7.567170080233708","-9.459263619382218","-5.675076541085197","4","4","4"
"480","-10.747327696042293","-11.390601107985646","-10.10405428409894","5","5","5"
"576","-7.321916557625398","-8.905499684753863","-5.738333430496934","6","6","6"
"672","-6.964917644718713","-8.137472657937398","-5.792362631500028","7","7","7"
"768","-9.248750817185364","-10.6543203336612","-7.843181300709529","8","8","8"
"864","-7.429085203623178","-7.6403073044072105","-7.217863102839144","9","9","9"
"960","-7.681349833914635","-8.37865979105661","-6.984039876772661","10","10","10"
"1056","-5.510794324259701","-6.899110914522221","-4.12247773399718","11","11","11"
"1152","-4.3973371629194835","-5.094124859331162","-3.700549466507805","12","12","12"
"1248","-5.139202207160089","-6.063738680407478","-4.214665733912701","13","13","13"
"1344","-5.631481042128853","-6.667259918098545","-4.595702166159161","14","14","14"
"1440","-5.117727504151608","-6.059831852658397","-4.175623155644818","15","15","15"
"1536","-3.8540951859542627","-4.038350863871994","-3.6698395080365316","16","16","16"
"1632","-3.286611207716237","-3.554132225875232","-3.0190901895572413","17","17","17"
"1728","-5.542964922935196","-6.167731091233421","-4.918198754636973","18","18","18"
"1824","-4.562285763938238","-7.7816324121535905","-1.3429391157228858","19","19","19"
"1920","-4.286607570089951","-5.569460666093516","-3.0037544740863873","20","20","20"
"2016","-6.062506584113759","-7.193918395231821","-4.931094772995698","21","21","21"
"2112","-6.8467804125865905","-8.119460701648004","-5.574100123525177","22","22","22"
"2208","-6.775800688968982","-8.66020325142038","-4.891398126517582","23","23","23"
"2304","-7.755633610983101","-8.660203251420382","-6.85106397054582","24","24","24"
"2400","-6.81460461524325","-8.66020325142038","-4.96900597906612","25","25","25"
"2496","-7.819628785824493","-8.029301593697014","-7.609955977951973","26","26","26"
"2592","-6.85257167103161","-7.732926344246915","-5.972216997816304","27","27","27"
"2688","-6.581667903749226","-7.15659073737032","-6.006745070128133","28","28","28"
"2784","-4.565009186307512","-7.106055314636328","-2.0239630579786967","29","29","29"
"2880","-5.527436862000004","-5.783696631255944","-5.271177092744062","30","30","30"
"2976","-8.422858134757533","-8.66020325142038","-8.185513018094685","31","31","31"
"3072","-6.212466230912739","-7.6449967876764555","-4.779935674149023","32","32","32"
"3168","-8.309075062221588","-8.66020325142038","-7.957946873022796","33","33","33"
"3264","-7.485478554454849","-8.066221864449648","-6.90473524446005","34","34","34"
"3360","-6.602288760313032","-8.351302631145053","-4.85327488948101","35","35","35"
"3456","-7.4429959823447085","-7.919248517500683","-6.966743447188733","36","36","36"
"3552","-7.905175550438797","-8.182522027291935","-7.6278290735856595","37","37","37"
"3648","-7.005376363061389","-7.901766761484505","-6.108985964638274","38","38","38"
"3744","-7.0555528849577","-7.954020350449046","-6.157085419466354","39","39","39"
"3840","-6.865168733727365","-8.157932528902075","-5.572404938552655","40","40","40"
"3936","-7.5560174700641465","-8.164517609948096","-6.9475173301801965","41","41","41"
"4032","-7.063888636356287","-7.56330197267167","-6.564475300040903","42","42","42"
"4128","-5.625962361583769","-8.66020325142038","-2.5917214717471575","43","43","43"
"4224","-7.426635698974555","-8.66020325142038","-6.193068146528729","44","44","44"
"4320","-7.902752218922483","-8.66020325142038","-7.145301186424585","45","45","45"
"4416","-8.815813368276327","-8.971423485132272","-8.660203251420382","46","46","46"
"4512","-6.787175789086364","-7.529725657659374","-6.044625920513353","47","47","47"
"4608","-8.426115567536236","-8.66020325142038","-8.19202788365209","48","48","48"
"4704","-8.66020325142038","-8.66020325142038","-8.66020325142038","49","49","49"
"4800","-5.9256983657799385","-6.518164577804652","-5.333232153755225","50","50","50"
"4896","-7.219096530503667","-8.660203251420382","-5.777989809586952","51","51","51"
"4992","-7.958811556333025","-8.660203251420382","-7.257419861245667","52","52","52"
"5088","-8.106393274387665","-8.660203251420382","-7.552583297354948","53","53","53"
"5184","-7.906551522246377","-8.660203251420382","-7.152899793072372","54","54","54"
"5280","-7.957750590267109","-8.66020325142038","-7.255297929113836","55","55","55"
"5376","-6.726714680198299","-6.887433507988121","-6.565995852408476","56","56","56"
"5472","-8.660203251420382","-8.660203251420382","-8.660203251420382","57","57","57"
"5568","-8.66020325142038","-8.66020325142038","-8.66020325142038","58","58","58"
"5664","-7.455437130069365","-7.529725657659374","-7.381148602479357","59","59","59"
"5760","-8.66020325142038","-8.660203251420382","-8.66020325142038","60","60","60"
"5856","-8.02067592694987","-8.660203251420382","-7.381148602479357","61","61","61"
"5952","-8.66020325142038","-8.66020325142038","-8.66020325142038","62","62","62"
"6048","-8.079858903045736","-8.660203251420382","-7.49951455467109","63","63","63"
"6144","-8.236655789705026","-8.660203251420382","-7.813108327989667","64","64","64"
"6240","-8.66020325142038","-8.66020325142038","-8.66020325142038","65","65","65"
"6336","-8.660203251420382","-8.660203251420382","-8.660203251420382","66","66","66"
"6432","-8.66020325142038","-8.660203251420382","-8.66020325142038","67","67","67"
"6528","-8.660203251420382","-8.660203251420382","-8.660203251420382","68","68","68"
"6624","-8.66020325142038","-8.66020325142038","-8.66020325142038","69","69","69"
"6720","-8.66020325142038","-8.66020325142038","-8.66020325142038","70","70","70"
"6816","-8.66020325142038","-8.660203251420382","-8.66020325142038","71","71","71"
"6912","-7.2411069662622545","-8.66020325142038","-5.8220106811041274","72","72","72"
"7008","-8.66020325142038","-8.660203251420382","-8.66020325142038","73","73","73"
"7104","-7.283255545027735","-8.66020325142038","-5.906307838635089","74","74","74"
"7200","-8.66020325142038","-8.66020325142038","-8.66020325142038","75","75","75"
"7296","-8.66020325142038","-8.66020325142038","-8.66020325142038","76","76","76"
"7392","-8.66020325142038","-8.66020325142038","-8.66020325142038","77","77","77"
"7488","-8.660203251420382","-8.660203251420382","-8.660203251420382","78","78","78"
"7584","-8.66020325142038","-8.66020325142038","-8.66020325142038","79","79","79"
"7680","-8.23237753251598","-8.66020325142038","-7.80455181361158","80","80","80"
"7776","-8.660203251420382","-8.660203251420382","-8.660203251420382","81","81","81"
"7872","-7.755821176411575","-8.66020325142038","-6.85143910140277","82","82","82"
"7968","-8.329170163099366","-8.66020325142038","-7.998137074778353","83","83","83"
"8064","-8.66020325142038","-8.660203251420382","-8.66020325142038","84","84","84"
"8160","-8.66020325142038","-8.660203251420382","-8.66020325142038","85","85","85"
"8256","-8.66020325142038","-8.660203251420382","-8.66020325142038","86","86","86"
"8352","-8.66020325142038","-8.66020325142038","-8.66020325142038","87","87","87"
"8448","-8.660203251420382","-8.660203251420382","-8.660203251420382","88","88","88"
"8544","-8.54041580379236","-8.66020325142038","-8.420628356164341","89","89","89"
"8640","-8.66020325142038","-8.66020325142038","-8.66020325142038","90","90","90"
"8736","-8.66020325142038","-8.660203251420382","-8.66020325142038","91","91","91"
"8832","-8.660203251420382","-8.660203251420382","-8.660203251420382","92","92","92"
"8928","-8.66020325142038","-8.660203251420382","-8.66020325142038","93","93","93"
"9024","-8.133363755555427","-8.660203251420382","-7.606524259690471","94","94","94"
"9120","-8.660203251420382","-8.660203251420382","-8.660203251420382","95","95","95"
"9216","-8.66020325142038","-8.66020325142038","-8.66020325142038","96","96","96"
"9312","-8.66020325142038","-8.660203251420382","-8.66020325142038","97","97","97"
"9408","-7.359484270979504","-7.368228858550659","-7.350739683408349","98","98","98"
"9504","-8.66020325142038","-8.660203251420382","-8.66020325142038","99","99","99"
"9600","-8.249235572865432","-8.66020325142038","-7.838267894310483","100","100","100"
"9696","-8.66020325142038","-8.66020325142038","-8.66020325142038","101","101","101"
"9792","-8.66020325142038","-8.660203251420382","-8.66020325142038","102","102","102"
"9888","-8.66020325142038","-8.66020325142038","-8.66020325142038","103","103","103"
"9984","-8.66020325142038","-8.66020325142038","-8.66020325142038","104","104","104"
"10080","-8.66020325142038","-8.660203251420382","-8.66020325142038","105","105","105"
"10176","-8.660203251420382","-8.660203251420382","-8.660203251420382","106","106","106"
"10272","-8.66020325142038","-8.660203251420382","-8.66020325142038","107","107","107"
"10368","-8.660203251420382","-8.660203251420382","-8.660203251420382","108","108","108"
"10464","-8.66020325142038","-8.66020325142038","-8.66020325142038","109","109","109"
"10560","-8.66020325142038","-8.66020325142038","-8.66020325142038","110","110","110"
"10656","-8.66020325142038","-8.660203251420382","-8.66020325142038","111","111","111"
"10752","-8.66020325142038","-8.660203251420382","-8.66020325142038","112","112","112"
"10848","-8.46681818781347","-8.660203251420382","-8.273433124206555","113","113","113"
"10944","-7.914088039538116","-8.66020325142038","-7.167972827655852","114","114","114"
"11040","-8.66020325142038","-8.660203251420382","-8.66020325142038","115","115","115"
"11136","-8.660203251420382","-8.660203251420382","-8.660203251420382","116","116","116"
"11232","-8.66020325142038","-8.660203251420382","-8.66020325142038","117","117","117"
"11328","-8.66020325142038","-8.660203251420382","-8.66020325142038","118","118","118"
"11424","-7.906551522246376","-8.66020325142038","-7.152899793072372","119","119","119"
"11520","-8.01421605498552","-8.66020325142038","-7.368228858550659","120","120","120"
"11616","-8.481141211665314","-8.66020325142038","-8.302079171910249","121","121","121"
"11712","-8.386624930225","-8.66020325142038","-8.11304660902962","122","122","122"
"11808","-8.66020325142038","-8.660203251420382","-8.66020325142038","123","123","123"
"11904","-7.167897462482934","-8.66020325142038","-5.675591673545488","124","124","124"
"12000","-7.530041682307182","-8.052217360865159","-7.007866003749205","125","125","125"
"12096","-8.66020325142038","-8.660203251420382","-8.66020325142038","126","126","126"
"12192","-7.964775116878641","-8.660203251420382","-7.269346982336901","127","127","127"
"12288","-6.595760539744878","-8.660203251420382","-4.531317828069375","128","128","128"
"12384","-8.66020325142038","-8.660203251420382","-8.66020325142038","129","129","129"
"12480","-8.66020325142038","-8.660203251420382","-8.66020325142038","130","130","130"
"12576","-8.66020325142038","-8.660203251420382","-8.66020325142038","131","131","131"
"12672","-8.113820567608593","-8.66020325142038","-7.567437883796806","132","132","132"
"12768","-7.31065680438495","-8.66020325142038","-5.961110357349518","133","133","133"
"12864","-8.66020325142038","-8.66020325142038","-8.66020325142038","134","134","134"
"12960","-8.660203251420382","-8.660203251420382","-8.660203251420382","135","135","135"
"13056","-8.66020325142038","-8.660203251420382","-8.66020325142038","136","136","136"
"13152","-8.660203251420382","-8.660203251420382","-8.660203251420382","137","137","137"
"13248","-8.66020325142038","-8.66020325142038","-8.66020325142038","138","138","138"
"13344","-7.866588967776725","-8.660203251420382","-7.072974684133068","139","139","139"
"13440","-8.66020325142038","-8.660203251420382","-8.66020325142038","140","140","140"
"13536","-8.66020325142038","-8.660203251420382","-8.66020325142038","141","141","141"
"13632","-8.66020325142038","-8.660203251420382","-8.66020325142038","142","142","142"
"13728","-8.014216054985521","-8.66020325142038","-7.36822885855066","143","143","143"
"13824","-8.66020325142038","-8.660203251420382","-8.66020325142038","144","144","144"
"13920","-8.66020325142038","-8.66020325142038","-8.66020325142038","145","145","145"
"14016","-7.603915616535366","-8.66020325142038","-6.54762798165035","146","146","146"
"14112","-8.66020325142038","-8.660203251420382","-8.66020325142038","147","147","147"
"14208","-6.851439101402772","-8.660203251420382","-5.042674951385161","148","148","148"
"14304","-8.024917656131127","-8.66020325142038","-7.3896320608418735","149","149","149"
"14400","-8.66020325142038","-8.660203251420382","-8.66020325142038","150","150","150"
"14496","-6.3992480638983675","-8.66020325142038","-4.138292876376355","151","151","151"
"14592","-7.529725657659374","-8.66020325142038","-6.3992480638983675","152","152","152"
"14688","-6.076254465680938","-8.66020325142038","-3.492305679941494","153","153","153"
"14784","-6.860482922152859","-8.660203251420382","-5.060762592885336","154","154","154"
"14880","-7.660358624049535","-8.66020325142038","-6.66051399667869","155","155","155"
"14976","-7.665382968910696","-8.660203251420382","-6.670562686401009","156","156","156"
"15072","-5.660669369307844","-8.660203251420382","-2.661135487195306","157","157","157"
"15168","-5.313651561087267","-8.66020325142038","-1.9670998707541534","158","158","158"
"15264","-6.101900803366598","-8.66020325142038","-3.5435983553128154","159","159","159"
"15360","-5.653132852016103","-8.66020325142038","-2.6460624526118255","160","160","160"
"15456","-4.160789380492199","-8.66020325142038","0.33862449043598286","161","161","161"
"15552","-5.291380022012581","-8.66020325142038","-1.922556792604782","162","162","162"
"15648","-5.462437431628533","-8.660203251420382","-2.264671611836684","163","163","163"
"15744","-5.683203556010147","-8.660203251420382","-2.7062038605999112","164","164","164"
"15840","-3.2640568705345094","-6.85143910140277","0.3233253603337511","165","165","165"
"15936","-4.196173329176918","-8.66020325142038","0.2678565930665448","166","166","166"
"16032","-3.439650213830895","-6.076254465680939","-0.8030459619808514","167","167","167"
"16128","-5.956100847144054","-8.66020325142038","-3.251998442867726","168","168","168"
"16224","-5.983141871186817","-8.660203251420382","-3.3060804909532515","169","169","169"
"16320","-5.512953630389738","-8.66020325142038","-2.3657040093590966","170","170","170"
"16416","-5.277642099380578","-7.894148711565849","-2.6611354871953066","171","171","171"
"16512","-4.822974705877663","-8.66020325142038","-0.9857461603349463","172","172","172"
"16608","-3.6921561744296496","-7.6553342791883745","0.2710219303290756","173","173","173"
"16704","-5.518240229734098","-8.66020325142038","-2.376277208047816","174","174","174"
"16800","-3.7237090601577347","-7.755821176411575","0.3084030560961059","175","175","175"
"16896","-4.922090674717319","-8.66020325142038","-1.1839780980142574","176","176","176"
"16992","-5.042674951385161","-8.66020325142038","-1.42514665134994","177","177","177"
"17088","-4.168438945543315","-8.66020325142038","0.3233253603337511","178","178","178"
"17184","-4.274820042830126","-8.660203251420382","0.11056316576012969","179","179","179"
"17280","-4.147336697126444","-8.660203251420382","0.3655298571674946","180","180","180"
"17376","-3.0304248344905687","-6.399248063898368","0.3383983949172309","181","181","181"
"17472","-4.16290509617879","-7.511121441638584","-0.814688750718995","182","182","182"
"17568","-5.060762592885336","-6.851439101402771","-3.2700860843679016","183","183","183"
"17664","-4.0218713557223165","-8.247388177185552","0.20364546574092035","184","184","184"
"17760","-2.6649037458411766","-5.645596334724364","0.31578884304201116","185","185","185"
"17856","-3.640656639602759","-7.529725657659374","0.2484123784538559","186","186","186"
"17952","-4.748581205368234","-7.529725657659374","-1.9674367530770933","187","187","187"
"18048","-4.368694976438123","-6.076254465680939","-2.661135487195306","188","188","188"
"18144","-4.228166975557948","-8.66020325142038","0.20386930030448436","189","189","189"
"18240","-1.3907447052159454","-3.0749701622903514","0.29348075185846073","190","190","190"
"18336","-1.5391147702177064","-3.3417149534727484","0.2634854130373357","191","191","191"
"18432","-2.665377469785228","-3.0530343863657876","-2.2777205532046683","192","192","192"
"18528","-0.4377875209590758","-1.1839780980142576","0.3084030560961059","193","193","193"
"18624","-2.6984420014411485","-4.213056635213874","-1.1838273676684228","194","194","194"
"18720","-1.5588444681054072","-1.9338615685423914","-1.183827367668423","195","195","195"
"18816","0.2842259086242044","0.27527252608161723","0.2931792911667915","196","196","196"
"18912","-0.43216534422229125","-1.1576607099572085","0.29333002151262605","197","197","197"
"19008","-0.5592008145290082","-1.4794095758504668","0.36100794679245063","198","198","198"
"19104","-0.632702142121441","-1.53313167987014","0.26772739562725795","199","199","199"
"19200","-0.334785508474734","-0.9853598599914791","0.31578884304201116","200","200","200"
"19296","0.27090888256969964","0.2484123784538559","0.2934053866855434","201","201","201"
"19392","-2.013758700524558","-3.3060804909532515","-0.7214369100958647","202","202","202"
"19488","-0.41428842884009753","-1.1368291834304662","0.3082523257502712","203","203","203"
"19584","-0.2420907140953062","-0.7902804632861008","0.3060990350954884","204","204","204"
"19680","-1.2791848016921472","-2.6912815563622665","0.13291195297797187","205","205","205"
"19776","-2.9985302933119238","-3.3060804909532515","-2.6909800956705965","206","206","206"
"19872","0.2974720989526832","0.23393625111291574","0.36100794679245063","207","207","207"
"19968","-1.6226255832872725","-3.5565180992415124","0.31126693266696726","208","208","208"
"20064","-0.41286142030280704","-1.07413521905947","0.2484123784538559","209","209","209"
"20160","-0.4676517243793248","-1.228595787684817","0.29329233892616746","210","210","210"
"20256","-0.8259030884491043","-1.9451663444800016","0.293360167581793","211","211","211"
"20352","-1.4948486698452599","-3.270086084367901","0.2803887446773813","212","212","212"
"20448","0.26045681619125527","0.24265664545336424","0.2782569869291463","213","213","213"
"20544","-0.350094759043043","-1.0114564507530532","0.31126693266696726","214","214","214"
"20640","0.23620046207590795","0.21871699302094152","0.25368393113087434","215","215","215"
"20736","0.28579350422088623","0.2633346826915011","0.3082523257502713","216","216","216"
"20832","-1.4188182321276765","-3.0529213386064122","0.21528487435105897","217","217","217"
"20928","0.29788207795683697","0.25736576099644304","0.3383983949172309","218","218","218"
"21024","0.2699446390144877","0.21656391769522423","0.3233253603337511","219","219","219"
"21120","0.03071244136826383","-0.12484923019526448","0.18627411293179214","220","220","220"
"21216","-0.37833386459173246","-0.9961267250947338","0.2394589959112688","221","221","221"
"21312","0.27563337452954517","0.21286835414185945","0.3383983949172309","222","222","222"
"21408","-0.2854184850478073","-0.814575702959619","0.24373873286400435","223","223","223"
"21504","-0.6454846799301499","-1.5098355759236173","0.21886621606331755","224","224","224"
"21600","0.24019789415419157","0.18699040162283972","0.2934053866855434","225","225","225"
"21696","-0.8033086096084678","-1.9451663444800011","0.3385491252630655","226","226","226"
"21792","-1.1734262085069245","-1.52097193811662","-0.8258804788972289","227","227","227"
"21888","-0.11753336064556719","-0.5928447321014108","0.3577780108102764","228","228","228"
"21984","-0.8089609975772729","-1.9112520166671718","0.29333002151262605","229","229","229"
"22080","-1.0720069839655484","-1.1839780980142576","-0.9600358699168392","230","230","230"
"22176","-1.9494169402325432","-4.138292876376355","0.2394589959112688","231","231","231"
"22272","-1.0793281721918102","-1.1987496719060682","-0.9599066724775523","232","232","232"
"22368","-1.7455728290100376","-1.9225567926047815","-1.5685888654152937","233","233","233"
"22464","0.2822136585073095","0.2484123784538559","0.3160149385607631","234","234","234"
"22560","-0.4453240382508158","-1.183827367668423","0.2931792911667915","235","235","235"
"22656","-0.8032709270220092","-0.8257674311378529","-0.7807744229061655","236","236","236"
"22752","-0.45278519036963827","-1.1689050634307776","0.26333468269150107","237","237","237"
"22848","-0.6121724106238626","-1.4794095758504668","0.25506475460274153","238","238","238"
"22944","-1.5531920801366024","-1.9225567926047817","-1.1838273676684228","239","239","239"
"23040","-0.8591187811089906","-2.0120928789858405","0.2938553167678593","240","240","240"
"23136","-0.11235972553326115","-0.4796563002043701","0.2549368491378478","241","241","241"
"23232","-0.46306499995557193","-1.1836766373225884","0.25754663741144457","242","242","242"
"23328","-2.1032523311915403","-2.691281556362265","-1.5152231060208157","243","243","243"
"23424","-1.0846689790028683","-1.1839780980142576","-0.985359859991479","244","244","244"
"23520","-0.3228340993534926","-1.0111980558744798","0.36552985716749453","245","245","245"
"23616","-2.5556242451109457","-4.138292876376355","-0.9729556138455361","246","246","246"
"23712","-1.626333808189687","-3.492305679941494","0.23963806356212003","247","247","247"
"23808","-0.44509869638379324","-1.1387589942638183","0.24856160149623188","248","248","248"
"23904","-1.506089751445302","-3.23391080136755","0.22173129847694578","249","249","249"
"24000","0.30471016262315326","0.2822136585073095","0.327206666738997","250","250","250"
"24096","0.2636346360797117","0.20394391182567237","0.3233253603337511","251","251","251"
"24192","0.2677267496400614","0.254807651698561","0.2806458475815618","252","252","252"
"24288","-0.8536365243656585","-1.922556792604782","0.215283743873465","253","253","253"
"24384","-1.2436315165077028","-2.7358992460328255","0.2486362130174199","254","254","254"
"24480","-0.6199526804177238","-1.533310747520991","0.2934053866855434","255","255","255"
"24576","-1.0812553582840203","-2.366870662235858","0.20435994566781757","256","256","256"
"24672","-0.5385403762107586","-1.3320163095849717","0.2549355571634547","257","257","257"
"24768","-0.7678362234103712","-1.6863120972330372","0.1506396504122949","258","258","258"
"24864","-0.19021292792541541","-0.7414338026432814","0.3610079467924506","259","259","259"
"24960","0.27661779441819256","0.24863847397260785","0.3045971148637773","260","260","260"
"25056","-0.3766082699411984","-1.0109422449446925","0.25772570506229575","261","261","261"
"25152","0.2494782573279734","0.21856776997856553","0.2803887446773813","262","262","262"
"25248","0.23589855672971732","0.19278948940803248","0.27900762405140217","263","263","263"
"25344","-0.35581174573149166","-0.9600358699168392","0.24841237845385591","264","264","264"
"25440","-1.55402174302589","-2.3159642872080046","-0.7920791988437754","265","265","265"
"25536","0.26139607511499974","0.20377337120581407","0.31901877902418546","266","266","266"
"25632","-0.5657132698511471","-1.4969563968697888","0.3655298571674946","267","267","267"
