"Episode","Grouped runs - Returns_Instruction/dont_use_the_left_cutting_board","Grouped runs - Returns_Instruction/dont_use_the_left_cutting_board__MIN","Grouped runs - Returns_Instruction/dont_use_the_left_cutting_board__MAX","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX"
"0","-12.845394335061496","-19.82308013395827","-5.867708536164719","0","0","0"
"96","-11.459535787879151","-13.329255259628358","-9.589816316129946","1","1","1"
"192","-13.249254417079465","-14.752724562461177","-11.745784271697753","2","2","2"
"288","-9.739612814732318","-12.129029856988778","-7.35019577247586","3","3","3"
"384","-8.475938151089569","-10.875443159551237","-6.076433142627902","4","4","4"
"480","-12.920404548483223","-19.471594209366522","-6.3692148875999255","5","5","5"
"576","-10.300375759853766","-14.12432011652927","-6.476431403178262","6","6","6"
"672","-8.036751367316906","-8.265992266303313","-7.8075104683304986","7","7","7"
"768","-8.293467025899744","-8.661712980308453","-7.925221071491038","8","8","8"
"864","-7.621913118519252","-8.796081288126159","-6.447744948912347","9","9","9"
"960","-4.826552841160611","-5.58335961350493","-4.0697460688162925","10","10","10"
"1056","-4.4518431757532895","-6.0587927973296445","-2.844893554176935","11","11","11"
"1152","-4.249672180106922","-4.554823445857671","-3.944520914356172","12","12","12"
"1248","-5.118907127926498","-5.999772072993607","-4.238042182859389","13","13","13"
"1344","-5.3380204061284875","-8.214589603786472","-2.4614512084705025","14","14","14"
"1440","-1.1468725095839893","-1.4370635562375882","-0.8566814629303904","15","15","15"
"1536","-1.8521981417649147","-1.8521981417649147","-1.8521981417649147","16","16","16"
"1632","-1.723650691625505","-2.410525275301671","-1.0367761079493392","17","17","17"
"1728","-4.124231997781191","-4.886606815402215","-3.361857180160168","18","18","18"
"1824","-3.8569181242397117","-7.736180431677648","0.02234418319822488","19","19","19"
"1920","-3.7286341457508385","-6.5752786340727685","-0.8819896574289083","20","20","20"
"2016","-7.965228378971176","-7.965228378971176","-7.965228378971176","21","21","21"
"2112","-8.66020325142038","-8.66020325142038","-8.66020325142038","22","22","22"
"2208","-5.749464540824682","-8.66020325142038","-2.8387258302289826","23","23","23"
"2304","-8.66020325142038","-8.66020325142038","-8.66020325142038","24","24","24"
"2400","-7.69159256122353","-8.66020325142038","-6.72298187102668","25","25","25"
"2496","-8.66020325142038","-8.66020325142038","-8.66020325142038","26","26","26"
"2592","-7.951041341265249","-7.990086459128196","-7.911996223402302","27","27","27"
"2688","-7.316333523925433","-8.66020325142038","-5.972463796430486","28","28","28"
"2784","-7.460240853499708","-7.460240853499708","-7.460240853499708","29","29","29"
"2880","-6.348842125427433","-6.595454895750938","-6.10222935510393","30","30","30"
"2976","-8.66020325142038","-8.66020325142038","-8.66020325142038","31","31","31"
"3072","-5.281558006118963","-5.281558006118963","-5.281558006118963","32","32","32"
"3168","-8.66020325142038","-8.66020325142038","-8.66020325142038","33","33","33"
"3264","-8.66020325142038","-8.66020325142038","-8.66020325142038","34","34","34"
"3360","-6.645472323574837","-8.042402010869722","-5.248542636279952","35","35","35"
"3456","-8.05416163630893","-8.66020325142038","-7.44812002119748","36","36","36"
"3552","-7.824261109195597","-8.66020325142038","-6.988318966970814","37","37","37"
"3648","-6.635883580867233","-8.66020325142038","-4.611563910314086","38","38","38"
"3744","-8.66020325142038","-8.66020325142038","-8.66020325142038","39","39","39"
"3840","-6.087037990697276","-8.66020325142038","-3.513872729974171","40","40","40"
"3936","-8.66020325142038","-8.66020325142038","-8.66020325142038","41","41","41"
"4032","-7.197668213088766","-8.66020325142038","-5.735133174757152","42","42","42"
"4128","-4.359911478213935","-8.66020325142038","-0.05961970500749018","43","43","43"
"4224","-8.66020325142038","-8.66020325142038","-8.66020325142038","44","44","44"
"4320","-8.66020325142038","-8.66020325142038","-8.66020325142038","45","45","45"
