"Episode","Grouped runs - Returns_Instruction/dont_use_the_right_cutting_board","Grouped runs - Returns_Instruction/dont_use_the_right_cutting_board__MIN","Grouped runs - Returns_Instruction/dont_use_the_right_cutting_board__MAX","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX"
"0","-8.733457872894757","-12.069176225755001","-5.397739520034512","0","0","0"
"96","-13.018268137251008","-13.097798679080553","-12.938737595421463","1","1","1"
"192","-14.51417204945292","-16.69195451991402","-12.336389578991822","2","2","2"
"288","-12.648257559562735","-12.648257559562735","-12.648257559562735","3","3","3"
"384","-11.476601966718686","-15.32267614541549","-7.630527788021881","4","4","4"
"480","-11.112822287066773","-12.749484453362445","-9.476160120771103","5","5","5"
"576","-0.5021148844185271","-0.5021148844185271","-0.5021148844185271","6","6","6"
"672","-1.3941704342142114","-1.3941704342142114","-1.3941704342142114","7","7","7"
"768","-8.679547570823688","-11.745960038529265","-5.613135103118111","8","8","8"
"864","-11.228029472949654","-11.228029472949654","-11.228029472949654","9","9","9"
"960","-10.049726776914483","-10.049726776914483","-10.049726776914483","10","10","10"
"1056","-3.6385741586355156","-3.6385741586355156","-3.6385741586355156","11","11","11"
"1152","-5.192309730623515","-6.8185307767936445","-3.5660886844533857","12","12","12"
"1248","-8.731243339074995","-8.802283426729609","-8.66020325142038","13","13","13"
"1344","-8.366685708716394","-10.250148570516096","-6.483222846916692","14","14","14"
"1440","-5.368190286743969","-6.524447958131027","-4.211932615356912","15","15","15"
"1536","-4.120591803436636","-5.742289713627265","-2.498893893246005","16","16","16"
"1632","-3.4501833109587077","-4.22972343515865","-2.670643186758765","17","17","17"
"1728","-5.100308660285728","-5.24423411369379","-4.956383206877667","18","18","18"
"1824","-5.97995818218722","-7.148673901888909","-4.811242462485531","19","19","19"
"1920","-4.616192513323173","-5.142964776422532","-4.089420250223815","20","20","20"
"2016","-7.111904295176289","-8.66020325142038","-5.563605338932197","21","21","21"
"2112","-3.675157497470132","-3.675157497470132","-3.675157497470132","22","22","22"
"2208","-8.66020325142038","-8.66020325142038","-8.66020325142038","23","23","23"
"2304","-6.664681260592264","-8.66020325142038","-4.669159269764148","24","24","24"
"2400","-6.0775822180497965","-8.66020325142038","-3.494961184679212","25","25","25"
"2496","-7.851884300963441","-8.66020325142038","-7.043565350506502","26","26","26"
"2592","-6.276905647196434","-8.66020325142038","-3.8936080429724886","27","27","27"
"2688","-8.66020325142038","-8.66020325142038","-8.66020325142038","28","28","28"
"2784","-4.237384909974008","-8.019818812641603","-0.4549510073064121","29","29","29"
"2880","-5.102430756922126","-6.129749907785533","-4.0751116060587185","30","30","30"
"2976","-7.948167901431837","-7.948167901431837","-7.948167901431837","31","31","31"
"3072","-5.071141099973876","-5.106980628316642","-5.03530157163111","32","32","32"
"3168","-8.045728920322494","-8.66020325142038","-7.431254589224607","33","33","33"
"3264","-8.66020325142038","-8.66020325142038","-8.66020325142038","34","34","34"
"3360","-7.710867913958447","-8.66020325142038","-6.761532576496514","35","35","35"
"3456","-7.243869329988506","-7.96957408217236","-6.518164577804652","36","36","36"
"3552","-8.66020325142038","-8.66020325142038","-8.66020325142038","37","37","37"
"3648","-6.33079937557141","-8.66020325142038","-4.00139549972244","38","38","38"
"3744","-6.840034232919962","-7.522983046373571","-6.157085419466354","39","39","39"
"3840","-8.095148688587285","-8.66020325142038","-7.53009412575419","40","40","40"
"3936","-7.701278668125498","-8.66020325142038","-6.742354084830617","41","41","41"
"4032","-7.2970250220916615","-8.66020325142038","-5.933846792762942","42","42","42"
"4128","-3.224746913432074","-3.224746913432074","-3.224746913432074","43","43","43"
"4224","-5.9015303050879915","-5.9015303050879915","-5.9015303050879915","44","44","44"
"4320","-8.66020325142038","-8.66020325142038","-8.66020325142038","45","45","45"
"4416","-8.66020325142038","-8.66020325142038","-8.66020325142038","46","46","46"
"4512","-5.479275821101023","-8.66020325142038","-2.2983483907816664","47","47","47"
"4608","-8.66020325142038","-8.660203251420382","-8.66020325142038","48","48","48"
"4704","-8.66020325142038","-8.66020325142038","-8.66020325142038","49","49","49"
"4800","-5.924420039466572","-8.66020325142038","-3.1886368275127626","50","50","50"
"4896","-4.336883088670237","-8.66020325142038","-0.013562925920093352","51","51","51"
"4992","-8.400570335942527","-8.66020325142038","-8.140937420464674","52","52","52"
"5088","-6.4449633432895155","-8.66020325142038","-4.22972343515865","53","53","53"
"5184","-8.66020325142038","-8.66020325142038","-8.66020325142038","54","54","54"
"5280","-8.66020325142038","-8.66020325142038","-8.66020325142038","55","55","55"
"5376","-4.251153563080499","-4.274028233321268","-4.228278892839731","56","56","56"
"5472","-8.66020325142038","-8.66020325142038","-8.66020325142038","57","57","57"
"5568","-8.66020325142038","-8.660203251420382","-8.66020325142038","58","58","58"
"5664","-8.66020325142038","-8.66020325142038","-8.66020325142038","59","59","59"
"5760","-8.66020325142038","-8.66020325142038","-8.66020325142038","60","60","60"
"5856","-4.183511980126794","-8.66020325142038","0.2931792911667915","61","61","61"
"5952","-8.66020325142038","-8.66020325142038","-8.66020325142038","62","62","62"
"6048","-6.919170206296446","-8.66020325142038","-5.17813716117251","63","63","63"
"6144","-8.66020325142038","-8.66020325142038","-8.66020325142038","64","64","64"
"6240","-8.66020325142038","-8.66020325142038","-8.66020325142038","65","65","65"
"6336","-8.66020325142038","-8.66020325142038","-8.66020325142038","66","66","66"
"6432","-8.66020325142038","-8.66020325142038","-8.66020325142038","67","67","67"
"6528","-8.66020325142038","-8.66020325142038","-8.66020325142038","68","68","68"
"6624","-8.66020325142038","-8.66020325142038","-8.66020325142038","69","69","69"
"6720","-8.66020325142038","-8.66020325142038","-8.66020325142038","70","70","70"
"6816","-8.66020325142038","-8.66020325142038","-8.66020325142038","71","71","71"
"6912","-4.4029143959459995","-8.66020325142038","-0.14562554047161794","72","72","72"
"7008","-8.66020325142038","-8.66020325142038","-8.66020325142038","73","73","73"
"7104","-4.529360132242444","-4.529360132242444","-4.529360132242444","74","74","74"
"7200","-8.66020325142038","-8.66020325142038","-8.66020325142038","75","75","75"
"7296","-8.66020325142038","-8.66020325142038","-8.66020325142038","76","76","76"
"7488","-8.66020325142038","-8.66020325142038","-8.66020325142038","78","78","78"
"7584","-8.66020325142038","-8.66020325142038","-8.66020325142038","79","79","79"
"7680","-8.66020325142038","-8.66020325142038","-8.66020325142038","80","80","80"
"7776","-8.66020325142038","-8.66020325142038","-8.66020325142038","81","81","81"
"7872","-8.66020325142038","-8.66020325142038","-8.66020325142038","82","82","82"
"7968","-8.66020325142038","-8.66020325142038","-8.66020325142038","83","83","83"
"8064","-8.66020325142038","-8.66020325142038","-8.66020325142038","84","84","84"
