"Step","MacIAC_run_0_['instructions_enabled']_20260418_231228 - Instruction_Compliance","MacIAC_run_0_['instructions_enabled']_20260418_231228 - Instruction_Compliance__MIN","MacIAC_run_0_['instructions_enabled']_20260418_231228 - Instruction_Compliance__MAX"
"0","0.9710416666666667","0.9710416666666667","0.9710416666666667"
"1","0.9452083333333333","0.9452083333333333","0.9452083333333333"
"2","0.9604166666666666","0.9604166666666666","0.9604166666666666"
"3","0.9806249999999999","0.9806249999999999","0.9806249999999999"
"4","0.9695833333333334","0.9695833333333334","0.9695833333333334"
"5","0.9560416666666667","0.9560416666666667","0.9560416666666667"
"6","0.9620833333333333","0.9620833333333333","0.9620833333333333"
"7","0.9499999999999998","0.9499999999999998","0.9499999999999998"
"8","0.9564583333333333","0.9564583333333333","0.9564583333333333"
"9","0.9687500000000001","0.9687500000000001","0.9687500000000001"
"10","0.9610416666666667","0.9610416666666667","0.9610416666666667"
"11","0.9787499999999999","0.9787499999999999","0.9787499999999999"
"12","0.9622916666666668","0.9622916666666668","0.9622916666666668"
"13","0.9716666666666667","0.9716666666666667","0.9716666666666667"
"14","0.9866666666666667","0.9866666666666667","0.9866666666666667"
"15","0.9620833333333335","0.9620833333333335","0.9620833333333335"
"16","0.9789583333333333","0.9789583333333333","0.9789583333333333"
"17","0.9841666666666665","0.9841666666666665","0.9841666666666665"
"18","0.9845833333333333","0.9845833333333333","0.9845833333333333"
"19","0.9904166666666668","0.9904166666666668","0.9904166666666668"
"20","0.9864583333333333","0.9864583333333333","0.9864583333333333"
"21","0.9802083333333332","0.9802083333333332","0.9802083333333332"
"22","0.9825","0.9825","0.9825"
"23","0.993125","0.993125","0.993125"
"24","0.9845833333333333","0.9845833333333333","0.9845833333333333"
"25","0.9939583333333334","0.9939583333333334","0.9939583333333334"
"26","0.9914583333333334","0.9914583333333334","0.9914583333333334"
"27","0.99625","0.99625","0.99625"
"28","0.9920833333333334","0.9920833333333334","0.9920833333333334"
"29","0.9960416666666667","0.9960416666666667","0.9960416666666667"
"30","0.9958333333333335","0.9958333333333335","0.9958333333333335"
"31","0.9977083333333333","0.9977083333333333","0.9977083333333333"
"32","0.9979166666666668","0.9979166666666668","0.9979166666666668"
"33","0.9929166666666666","0.9929166666666666","0.9929166666666666"
"34","0.9997916666666667","0.9997916666666667","0.9997916666666667"
"35","0.9983333333333334","0.9983333333333334","0.9983333333333334"
"36","0.99625","0.99625","0.99625"
"37","0.9964583333333333","0.9964583333333333","0.9964583333333333"
"38","0.9995833333333334","0.9995833333333334","0.9995833333333334"
"39","0.9989583333333334","0.9989583333333334","0.9989583333333334"
"40","0.9977083333333333","0.9977083333333333","0.9977083333333333"
"41","0.9979166666666667","0.9979166666666667","0.9979166666666667"
"42","0.9954166666666667","0.9954166666666667","0.9954166666666667"
"43","1","1","1"
"44","0.9947916666666666","0.9947916666666666","0.9947916666666666"
"45","0.995625","0.995625","0.995625"
"46","1","1","1"
"47","0.9987499999999999","0.9987499999999999","0.9987499999999999"
"48","0.998125","0.998125","0.998125"
"49","1","1","1"
"50","1","1","1"
"51","0.9989583333333334","0.9989583333333334","0.9989583333333334"
"52","0.9983333333333334","0.9983333333333334","0.9983333333333334"
"53","1","1","1"
"54","1","1","1"
"55","1","1","1"
"56","0.9987499999999999","0.9987499999999999","0.9987499999999999"
"57","0.9983333333333334","0.9983333333333334","0.9983333333333334"
"58","0.9987499999999999","0.9987499999999999","0.9987499999999999"
"59","0.9989583333333334","0.9989583333333334","0.9989583333333334"
"60","1","1","1"
"61","1","1","1"
"62","1","1","1"
"63","1","1","1"
"64","1","1","1"
"65","1","1","1"
"66","0.9997916666666667","0.9997916666666667","0.9997916666666667"
"67","1","1","1"
"68","1","1","1"
"69","1","1","1"
"70","1","1","1"
"71","0.9989583333333334","0.9989583333333334","0.9989583333333334"
"72","1","1","1"
"73","1","1","1"
"74","1","1","1"
"75","1","1","1"
"76","1","1","1"
"77","1","1","1"
"78","1","1","1"
"79","1","1","1"
"80","1","1","1"
"81","1","1","1"
"82","1","1","1"
"83","1","1","1"
"84","1","1","1"
"85","1","1","1"
"86","1","1","1"
"87","1","1","1"
"88","1","1","1"
"89","1","1","1"
"90","1","1","1"
"91","1","1","1"
"92","1","1","1"
"93","1","1","1"
"94","1","1","1"
"95","0.9987499999999999","0.9987499999999999","0.9987499999999999"
"96","0.9987499999999999","0.9987499999999999","0.9987499999999999"
"97","1","1","1"
"98","0.9987499999999999","0.9987499999999999","0.9987499999999999"
"99","0.9989583333333334","0.9989583333333334","0.9989583333333334"
"100","0.9987499999999999","0.9987499999999999","0.9987499999999999"
"101","1","1","1"
"102","0.9989583333333334","0.9989583333333334","0.9989583333333334"
"103","0.9987499999999999","0.9987499999999999","0.9987499999999999"
"104","1","1","1"
"105","0.9960416666666667","0.9960416666666667","0.9960416666666667"
"106","0.9933333333333333","0.9933333333333333","0.9933333333333333"
