"Episode","Grouped runs - Returns_Instruction/dont_use_the_left_cutting_board","Grouped runs - Returns_Instruction/dont_use_the_left_cutting_board__MIN","Grouped runs - Returns_Instruction/dont_use_the_left_cutting_board__MAX","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX"
"0","-18.852140822601246","-21.68507214565186","-16.019209499550634","0","0","0"
"96","-14.713975323876248","-21.018177193888366","-8.409773453864132","1","1","1"
"192","-17.172025575887673","-20.891349220239317","-13.452701931536026","2","2","2"
"288","-8.807278936974674","-10.703548407926332","-6.911009466023015","3","3","3"
"384","-16.069243037519996","-16.824547136053887","-15.313938938986103","4","4","4"
"480","-14.496755767305917","-14.496755767305917","-14.496755767305917","5","5","5"
"576","-7.90120820814599","-12.34338206372454","-3.45903435256744","6","6","6"
"672","-7.8411559836052245","-9.103209049255351","-6.579102917955098","7","7","7"
"768","-11.915592535974778","-13.808758795016661","-10.022426276932896","8","8","8"
"864","-8.66020325142038","-8.66020325142038","-8.66020325142038","9","9","9"
"960","-6.499323313658754","-9.803833178501876","-3.194813448815632","10","10","10"
"1056","-4.523513902584984","-4.523513902584984","-4.523513902584984","11","11","11"
"1152","-1.6199880358294174","-8.66020325142038","5.420227179761546","12","12","12"
"1248","4.377804261666245","4.377804261666245","4.377804261666245","13","13","13"
"1344","-1.9070712680563486","-3.9328761094685207","0.11873357335582364","14","14","14"
"1440","-3.5966257486260242","-6.1710189051238","-1.0222325921282482","15","15","15"
"1536","-3.939526908061113","-10.127316859046458","2.248263042924232","16","16","16"
"1632","-2.881646470476678","-2.881646470476678","-2.881646470476678","17","17","17"
"1728","-7.399321612925206","-8.66020325142038","-6.138439974430031","18","18","18"
"1824","1.577931400430185","1.577931400430185","1.577931400430185","19","19","19"
"1920","-5.687826716431767","-8.66020325142038","-2.7154501814431526","20","20","20"
"2016","-2.0967718213775735","-5.479275821101023","1.2857321783458764","21","21","21"
"2112","-3.089786185742192","-5.897686574428297","-0.28188579705608646","22","22","22"
"2208","-5.84067729915844","-8.66020325142038","-3.0211513468964992","23","23","23"
"2304","-4.611563910314086","-4.611563910314086","-4.611563910314086","24","24","24"
"2400","-1.6817757720889568","-2.0278614274068953","-1.3356901167710182","25","25","25"
"2592","-3.4046074759379064","-4.529360132242444","-2.279854819633368","27","27","27"
"2688","-7.057827514256388","-8.66020325142038","-5.455451777092396","28","28","28"
"2784","-3.911203134435863","-3.911203134435863","-3.911203134435863","29","29","29"
"2976","-7.720667599618835","-7.720667599618835","-7.720667599618835","31","31","31"
"3072","-6.828167668372657","-8.66020325142038","-4.996132085324934","32","32","32"
"3168","-6.023325953724503","-8.66020325142038","-3.3864486560286244","33","33","33"
"3264","-8.66020325142038","-8.66020325142038","-8.66020325142038","34","34","34"
"3360","-5.573752546708938","-5.573752546708938","-5.573752546708938","35","35","35"
"3456","-7.018793725848608","-8.66020325142038","-5.377384200276835","36","36","36"
"3552","-6.130455849524745","-6.496527823525706","-5.764383875523784","37","37","37"
"3648","-8.272095813173703","-8.66020325142038","-7.883988374927026","38","38","38"
"3744","-5.813855982305677","-7.397988529452705","-4.22972343515865","39","39","39"
"3840","-8.66020325142038","-8.66020325142038","-8.66020325142038","40","40","40"
"3936","-6.545739814439189","-8.66020325142038","-4.431276377457998","41","41","41"
"4032","-8.66020325142038","-8.66020325142038","-8.66020325142038","42","42","42"
"4128","-6.63654338802876","-8.66020325142038","-4.612883524637139","43","43","43"
"4224","-4.9075872066949575","-5.542576276964378","-4.272598136425538","44","44","44"
"4320","-8.66020325142038","-8.66020325142038","-8.66020325142038","45","45","45"
"4416","-8.66020325142038","-8.66020325142038","-8.66020325142038","46","46","46"
"4512","-8.66020325142038","-8.66020325142038","-8.66020325142038","47","47","47"
"4608","-8.66020325142038","-8.66020325142038","-8.66020325142038","48","48","48"
"4704","-8.106393274387663","-8.66020325142038","-7.552583297354948","49","49","49"
"4800","-8.66020325142038","-8.66020325142038","-8.66020325142038","50","50","50"
"4896","-8.66020325142038","-8.66020325142038","-8.66020325142038","51","51","51"
"4992","-8.66020325142038","-8.66020325142038","-8.66020325142038","52","52","52"
"5088","-8.66020325142038","-8.66020325142038","-8.66020325142038","53","53","53"
"5184","-6.510057364817158","-8.66020325142038","-4.359911478213935","54","54","54"
"5280","-8.66020325142038","-8.66020325142038","-8.66020325142038","55","55","55"
"5376","-8.66020325142038","-8.66020325142038","-8.66020325142038","56","56","56"
"5472","-8.66020325142038","-8.66020325142038","-8.66020325142038","57","57","57"
"5568","-7.31065680438495","-8.66020325142038","-5.961110357349518","58","58","58"
"5664","-8.66020325142038","-8.66020325142038","-8.66020325142038","59","59","59"
"5760","-8.66020325142038","-8.66020325142038","-8.66020325142038","60","60","60"
