"Episode","Grouped runs - Returns_Instruction/dont_use_the_right_cutting_board","Grouped runs - Returns_Instruction/dont_use_the_right_cutting_board__MIN","Grouped runs - Returns_Instruction/dont_use_the_right_cutting_board__MAX","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX"
"0","-15.85501479584311","-15.85501479584311","-15.85501479584311","0","0","0"
"96","-17.862412406363596","-18.98197921009506","-16.74284560263213","1","1","1"
"192","-5.474754458234285","-5.474754458234285","-5.474754458234285","2","2","2"
"288","-10.624332763316907","-12.246107112319725","-9.002558414314091","3","3","3"
"384","-12.435418257588909","-12.785291970103685","-12.085544545074132","4","4","4"
"480","-6.549017659050477","-6.549017659050477","-6.549017659050477","5","5","5"
"576","-1.908259429803008","-4.418879680023682","0.602360820417666","6","6","6"
"672","-11.330381644384849","-13.367385094775551","-9.293378193994146","7","7","7"
"768","-3.1099268287543844","-3.1099268287543844","-3.1099268287543844","8","8","8"
"864","-9.40215928884478","-13.607840420958073","-5.196478156731488","9","9","9"
"960","-6.870307583108637","-7.870832800647483","-5.869782365569792","10","10","10"
"1056","-6.958189014023297","-7.535760093731873","-6.380617934314721","11","11","11"
"1152","-4.565232951125386","-7.14113657265068","-1.9893293296000931","12","12","12"
"1248","-7.397196224203437","-7.982608188453232","-6.811784259953643","13","13","13"
"1344","-3.275236925649444","-4.488994452088173","-2.061479399210715","14","14","14"
"1440","0.04703409895790922","-2.5490308560917256","2.643099054007544","15","15","15"
"1536","-1.2156985186293663","-3.203083545080062","0.7716865078213295","16","16","16"
"1632","-0.8016482000430272","-5.349872368210239","3.7465759681241844","17","17","17"
"1728","-2.711156519588065","-7.705541796837346","2.2832287576612162","18","18","18"
"1824","-6.847752411525745","-8.66020325142038","-5.03530157163111","19","19","19"
"1920","2.6672867233601445","0.42397742071427236","4.910596026006017","20","20","20"
"2016","-1.3883670332731302","-1.513534549008689","-1.2631995175375716","21","21","21"
"2112","-1.9701752513679702","-4.542691927820251","0.6023414250843108","22","22","22"
"2208","-1.0078196395870918","-1.7765689367975896","-0.23907034237659378","23","23","23"
"2304","-0.7867812766210496","-0.7867812766210496","-0.7867812766210496","24","24","24"
"2400","-2.9803069680456398","-3.351147821869244","-2.6094661142220352","25","25","25"
"2496","-2.2340872305731936","-2.2340872305731936","-2.2340872305731936","26","26","26"
"2592","-3.3570776116515373","-4.811242462485531","-1.902912760817544","27","27","27"
"2688","-1.261705135612944","-1.261705135612944","-1.261705135612944","28","28","28"
"2784","-5.44989782058802","-5.44989782058802","-5.44989782058802","29","29","29"
"2880","-0.591476402198961","-1.0367761079493392","-0.1461766964485828","30","30","30"
