"Episode","Grouped runs - Returns_Instruction/stay","Grouped runs - Returns_Instruction/stay__MIN","Grouped runs - Returns_Instruction/stay__MAX","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX"
"0","-7.2815431836582265","-12.540358954415609","-2.0227274129008443","0","0","0"
"96","-12.105699716195627","-13.186348529068376","-11.02505090332288","1","1","1"
"192","-10.016675304338001","-10.778959673878166","-9.254390934797835","2","2","2"
"288","-12.581053474110783","-12.581053474110783","-12.581053474110783","3","3","3"
"384","-10.874900642071108","-10.975923119201921","-10.773878164940294","4","4","4"
"480","-14.197125761316471","-14.441475230878991","-13.952776291753953","5","5","5"
"576","-11.770308171767555","-16.773570409855243","-6.767045933679867","6","6","6"
"672","-8.831635012617998","-12.909445643657358","-4.753824381578635","7","7","7"
"768","-10.821007684908263","-11.842032531778377","-9.799982838038149","8","8","8"
"864","-8.798638245032912","-11.23608226079612","-6.361194229269701","9","9","9"
"960","-5.442648727039017","-6.449021392326207","-4.436276061751826","10","10","10"
"1056","-6.82017856989372","-10.379995870266832","-3.260361269520609","11","11","11"
"1152","2.4218385916574636","2.4218385916574636","2.4218385916574636","12","12","12"
"1248","-2.800858424937922","-4.715393035465363","-0.886323814410481","13","13","13"
"1344","-6.003090470594136","-9.240266105238671","-2.765914835949601","14","14","14"
"1440","-6.191919334581394","-8.66020325142038","-3.723635417742407","15","15","15"
"1536","-2.5537537955653358","-7.015842479512995","1.908334888382323","16","16","16"
"1632","-1.2652799513725428","-5.366541591143422","2.8359816883983364","17","17","17"
"1728","-3.259384811891885","-8.66020325142038","2.1414336276366104","18","18","18"
"1824","-0.808987253246543","-4.307239352800282","2.6892648463071964","19","19","19"
"1920","-3.095787066915099","-7.0215894642313605","0.8300153304011632","20","20","20"
"2016","-3.4234502871919834","-5.148285099517477","-1.6986154748664892","21","21","21"
"2112","-1.7651917752095285","-2.4487638086647077","-1.0816197417543494","22","22","22"
"2208","-1.749404849161673","-3.6465484390969745","0.14773874077362859","23","23","23"
"2304","-4.426130213362942","-4.612883524637139","-4.239376902088744","24","24","24"
"2400","-5.354541779861933","-8.66020325142038","-2.048880308303484","25","25","25"
"2496","-2.5875380118731792","-3.028530966398195","-2.1465450573481633","26","26","26"
"2592","-8.66020325142038","-8.66020325142038","-8.66020325142038","27","27","27"
"2688","-5.269970529305295","-5.72995353621599","-4.809987522394602","28","28","28"
"2880","-6.840220658678769","-8.66020325142038","-5.020238065937156","30","30","30"
"2976","-8.66020325142038","-8.66020325142038","-8.66020325142038","31","31","31"
"3072","-8.66020325142038","-8.66020325142038","-8.66020325142038","32","32","32"
"3168","-8.66020325142038","-8.66020325142038","-8.66020325142038","33","33","33"
"3264","-8.66020325142038","-8.66020325142038","-8.66020325142038","34","34","34"
"3360","-8.66020325142038","-8.66020325142038","-8.66020325142038","35","35","35"
"3456","-6.195738988813856","-8.66020325142038","-3.731274726207331","36","36","36"
"3552","-4.652050303725147","-4.652050303725147","-4.652050303725147","37","37","37"
"3648","-8.66020325142038","-8.66020325142038","-8.66020325142038","38","38","38"
"3744","-8.66020325142038","-8.66020325142038","-8.66020325142038","39","39","39"
"3840","-6.615435907427302","-8.66020325142038","-4.570668563434223","40","40","40"
"3936","-8.208946152233723","-8.66020325142038","-7.757689053047066","41","41","41"
"4032","-4.028797549034863","-4.65335672190497","-3.4042383761647557","42","42","42"
"4128","-4.299118164601977","-7.043565350506502","-1.554670978697453","43","43","43"
"4224","-8.66020325142038","-8.66020325142038","-8.66020325142038","44","44","44"
"4320","-8.66020325142038","-8.66020325142038","-8.66020325142038","45","45","45"
"4416","-3.909787817081218","-3.909787817081218","-3.909787817081218","46","46","46"
"4512","-4.316474187575486","-8.66020325142038","0.02725487626940827","47","47","47"
"4608","-8.66020325142038","-8.66020325142038","-8.66020325142038","48","48","48"
"4704","-8.66020325142038","-8.66020325142038","-8.66020325142038","49","49","49"
"4800","-8.66020325142038","-8.66020325142038","-8.66020325142038","50","50","50"
"4896","-8.66020325142038","-8.66020325142038","-8.66020325142038","51","51","51"
"4992","-8.66020325142038","-8.66020325142038","-8.66020325142038","52","52","52"
"5088","-8.111931374157992","-8.66020325142038","-7.563659496895602","53","53","53"
"5184","-8.66020325142038","-8.660203251420382","-8.66020325142038","54","54","54"
"5280","-8.66020325142038","-8.66020325142038","-8.66020325142038","55","55","55"
"5376","-6.552845267960562","-8.66020325142038","-4.445487284500744","56","56","56"
"5472","-7.236200245227481","-8.66020325142038","-5.812197239034582","57","57","57"
"5568","-8.66020325142038","-8.66020325142038","-8.66020325142038","58","58","58"
"5664","-8.66020325142038","-8.66020325142038","-8.66020325142038","59","59","59"
"5760","-8.66020325142038","-8.66020325142038","-8.66020325142038","60","60","60"
"5856","-7.053674246208583","-8.66020325142038","-5.447145240996787","61","61","61"
"5952","-8.66020325142038","-8.66020325142038","-8.66020325142038","62","62","62"
"6048","-8.66020325142038","-8.66020325142038","-8.66020325142038","63","63","63"
"6144","-8.66020325142038","-8.66020325142038","-8.66020325142038","64","64","64"
"6240","-8.66020325142038","-8.66020325142038","-8.66020325142038","65","65","65"
"6336","-6.421857615773588","-8.66020325142038","-4.183511980126794","66","66","66"
"6432","-8.66020325142038","-8.66020325142038","-8.66020325142038","67","67","67"
"6528","-8.66020325142038","-8.66020325142038","-8.66020325142038","68","68","68"
"6624","-8.66020325142038","-8.66020325142038","-8.66020325142038","69","69","69"
"6720","-5.330212274992986","-8.66020325142038","-2.000221298565592","70","70","70"
"6816","-6.136596620526918","-6.136596620526918","-6.136596620526918","71","71","71"
"6912","-8.66020325142038","-8.66020325142038","-8.66020325142038","72","72","72"
"7008","-5.17813716117251","-8.66020325142038","-1.6960710709246403","73","73","73"
"7104","-8.66020325142038","-8.66020325142038","-8.66020325142038","74","74","74"
"7200","-7.498873171429752","-8.161398566074995","-6.836347776784508","75","75","75"
"7296","-8.66020325142038","-8.66020325142038","-8.66020325142038","76","76","76"
"7392","-8.66020325142038","-8.66020325142038","-8.66020325142038","77","77","77"
"7488","-8.208946152233723","-8.66020325142038","-7.757689053047066","78","78","78"
"7584","-8.66020325142038","-8.66020325142038","-8.66020325142038","79","79","79"
"7680","-8.66020325142038","-8.66020325142038","-8.66020325142038","80","80","80"
"7776","-8.66020325142038","-8.66020325142038","-8.66020325142038","81","81","81"
