"Episode","Grouped runs - Returns_With_Instruction","Grouped runs - Returns_With_Instruction__MIN","Grouped runs - Returns_With_Instruction__MAX","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX"
"0","-16.29308865755432","-18.636834415239775","-13.949342899868867","0","0","0"
"96","-13.697358842322647","-14.615061822790414","-12.779655861854879","1","1","1"
"192","-12.016802314382826","-14.149756189331882","-9.88384843943377","2","2","2"
"288","-10.06245573622956","-11.012060148805011","-9.11285132365411","3","3","3"
"384","-12.679578330572575","-13.230681132143744","-12.128475529001404","4","4","4"
"480","-11.989818305612161","-14.469115499092453","-9.510521112131867","5","5","5"
"576","-7.501295963020469","-11.178610717867821","-3.8239812081731186","6","6","6"
"672","-9.357264206473275","-9.939002533928086","-8.775525879018465","7","7","7"
"768","-10.79628154495709","-11.718432438911112","-9.874130651003066","8","8","8"
"864","-9.388535472780823","-12.421961340877097","-6.355109604684552","9","9","9"
"960","-6.733156934637558","-8.166388349980924","-5.299925519294192","10","10","10"
"1056","-6.041054544015169","-6.684048406404097","-5.398060681626241","11","11","11"
"1152","-2.0911325410373527","-7.520903242343106","3.338638160268401","12","12","12"
"1248","-3.727884274762628","-6.349000611959297","-1.1067679375659594","13","13","13"
"1344","-3.1020967758899323","-5.3292384012385146","-0.8749551505413499","14","14","14"
"1440","-3.4058325580125697","-5.982218288001218","-0.8294468280239216","15","15","15"
"1536","-2.0727993690133957","-5.826299276117948","1.680700538091156","16","16","16"
"1632","-0.208406939944767","-3.7080927081507946","3.2912788282612606","17","17","17"
"1728","-4.289633231814291","-8.023762281698358","-0.555504181930223","18","18","18"
"1824","-2.082799831386682","-4.598464240332613","0.4328645775592501","19","19","19"
"1920","-1.4261094826501024","-2.6003067184580297","-0.2519122468421749","20","20","20"
"2016","-2.502135140946042","-4.611101076382009","-0.39316920551007534","21","21","21"
"2112","-2.1121040477794377","-2.852959454005201","-1.3712486415536749","22","22","22"
"2208","-1.9251065205691407","-2.9954510043672578","-0.8547620367710234","23","23","23"
"2304","-3.2252001990026464","-4.38825170537888","-2.0621486926264128","24","24","24"
